,model,graph,n,p,pr,eps,gam,max_it,avg_ncluster_01,std_ncluster_01,avg_ncluster_001,std_ncluster_001,avg_ncluster_00001,std_ncluster_00001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr,avg_nit,std_nit
14,triangles rewiring,er,250,0.1,0.0,0.4,1.6,100000,1.0131120900547297,0.019204406291065314,1.0265551299374904,0.02958519858917972,1.0354245117357168,0.03976082266182893,0.4973914286224234,0.012810099395226312,0.4992326847699151,0.060665960579565574,0.07758802434738205,0.026424588036914377,644.8,440.08244682104737
15,triangles rewiring,er,250,0.1,0.1,0.2,0.0,100000,1.0,0.0,1.0,0.0,1.0263273611013155,0.02956102974232392,0.3316860995224585,1.1938931391867827e-06,0.3316861150350669,0.0,0.0,0.0,16.8,0.39999999999999997
16,triangles rewiring,er,250,0.1,0.1,0.2,0.4,100000,1.0,0.0,1.0,0.0,1.006502345866649,0.013004691733298124,0.39502182587653495,5.742435908907814e-07,0.39502179053286,0.0,0.0,0.0,26.4,3.2619012860600183
17,triangles rewiring,er,250,0.1,0.1,0.2,0.8,100000,1.0,0.0,1.0,0.0,1.0,0.0,0.4333065276002721,4.4408920985006246e-17,0.4333065276002721,0.0,0.0,0.0,4206.0,1974.9143778908492
18,triangles rewiring,er,250,0.1,0.1,0.2,1.2,100000,1.860333910913246,0.4597875763301613,1.860333910913246,0.4597875763301613,1.860333910913246,0.4597875763301613,0.4853085948879208,0.20505256245426465,0.4978218815817558,0.6634528294807631,0.20117630765443412,0.2889836002507736,99999.0,0.0
19,triangles rewiring,er,250,0.1,0.1,0.2,1.6,100000,2.268811754708193,0.4567813298526211,2.268811754708193,0.4567813298526211,2.268811754708193,0.4567813298526211,0.4704442164624051,0.24100315174463124,0.4790076580557273,0.8259211533380373,0.19686499710202893,0.3597507732413971,99999.0,0.0
20,triangles rewiring,er,250,0.1,0.1,0.3,0.0,100000,1.0,0.0,1.0,0.0,1.1201702976092425,0.21272942756256155,0.4634803801622186,7.695247497048933e-07,0.4634804247488573,0.0,0.0,0.0,17.6,1.019803902718557
21,triangles rewiring,er,250,0.1,0.1,0.3,0.4,100000,1.0,0.0,1.0,0.0,1.0460440818135721,0.06436692999092547,0.5395646206447415,1.1201538423610418e-06,0.5395645295503926,0.0,0.0,0.0,24.4,2.5768197453450252
22,triangles rewiring,er,250,0.1,0.1,0.3,0.8,100000,1.0,0.0,1.0,0.0,1.05515609553392,0.10634170064638393,0.4498240168796676,4.447150342571597e-07,0.4498240166651202,0.0,0.0,0.0,162.4,97.93589740233149
23,triangles rewiring,er,250,0.1,0.1,0.3,1.2,100000,1.170919881305638,0.341839762611276,1.170919881305638,0.341839762611276,1.2349831347061313,0.3208374263517655,0.4884018281440052,0.049595220671616334,0.4512061644919785,0.13068363895874036,0.2613672779174807,0.056922552443894665,20312.4,39843.48658739594
24,triangles rewiring,er,250,0.1,0.1,0.3,1.6,100000,1.5894020117950798,0.4814162009028464,1.5958532051357834,0.4735179961395649,1.5991572495995272,0.4695019528055728,0.4944736790821752,0.14382900348937067,0.44536302305533904,0.4225051003967987,0.3263014070387601,0.1840327444718836,60379.8,48523.56080256271
25,triangles rewiring,er,250,0.1,0.1,0.4,0.0,100000,1.0,0.0,1.0,0.0,1.2651458833713705,0.3160757902728758,0.5152432822852724,1.4554796569578674e-06,0.5152432628491377,0.0,0.0,0.0,16.6,0.4898979485566356
26,triangles rewiring,er,250,0.1,0.1,0.4,0.4,100000,1.0,0.0,1.0,0.0,1.2506857557078117,0.38232151901736944,0.5284322819726139,1.4808497574238697e-06,0.5284323837465392,0.0,0.0,0.0,23.6,1.4966629547095767
27,triangles rewiring,er,250,0.1,0.1,0.4,0.8,100000,1.0,0.0,1.0,0.0,1.0182441814226713,0.0326210259401984,0.5029802483837909,7.993401229941664e-07,0.5029801950406019,0.0,0.0,0.0,96.2,53.28189185830398
28,triangles rewiring,er,250,0.1,0.1,0.4,1.2,100000,1.0032255966703518,0.006451193340703654,1.0032255966703518,0.006451193340703654,1.0114142719879229,0.01522630439927978,0.4987664805825135,0.002819134874968575,0.4990195850184369,0.009318884844420913,0.018637769688841826,0.0040590751489759215,439.6,206.67520412473286
29,triangles rewiring,er,250,0.1,0.1,0.4,1.6,100000,1.0064511933407037,0.007901065958382372,1.0162064311451509,0.010324716191480218,1.027871400874972,0.017782425381615473,0.5029025542342921,0.0107670935647162,0.5023604745843111,0.03726263601201029,0.03484738631019098,0.016230680209793406,647.2,500.73761592275054
30,triangles rewiring,er,250,0.1,0.2,0.2,0.0,100000,1.0,0.0,1.0,0.0,1.0877978935580983,0.08588595235459978,0.40346730079101295,1.606460964962384e-06,0.4034674004795846,0.0,0.0,0.0,15.6,1.2
31,triangles rewiring,er,250,0.1,0.2,0.2,0.4,100000,1.0,0.0,1.0,0.0,1.0439024390243905,0.0878048780487805,0.43422603144098026,4.748545790366296e-07,0.4342260024497249,0.0,0.0,0.0,35.2,12.592060990957755
32,triangles rewiring,er,250,0.1,0.2,0.2,0.8,100000,1.5764921717316398,0.470929594661259,1.5764921717316398,0.470929594661259,1.5764921717316398,0.470929594661259,0.4253056989077966,0.15962107502257966,0.457332381040052,0.409840759078464,0.33465503171715644,0.17851647144333802,72720.2,34214.309178470925
33,triangles rewiring,er,250,0.1,0.2,0.2,1.2,100000,1.9396263741989528,0.07045633048658112,1.9396263741989528,0.07045633048658112,1.9396263741989528,0.07045633048658112,0.4537818501256853,0.2523626717105013,0.2801508686548052,0.6766747783528485,0.0193458475969158,0.29474275330220795,99999.0,0.0
34,triangles rewiring,er,250,0.1,0.2,0.2,1.6,100000,1.8598970380557864,0.17122200145751015,1.8598970380557864,0.17122200145751015,1.8598970380557864,0.17122200145751015,0.5171676131617782,0.2075186177291025,0.5522765343054679,0.6482311581931413,0.06117395507599153,0.2823534177041509,99999.0,0.0
35,triangles rewiring,er,250,0.1,0.2,0.3,0.0,100000,1.0,0.0,1.0,0.0,1.0294517521942024,0.0225358357066894,0.5390012248634235,1.092226760901064e-06,0.5390013037923334,0.0,0.0,0.0,17.4,0.8
36,triangles rewiring,er,250,0.1,0.2,0.3,0.4,100000,1.0,0.0,1.0,0.0,1.0904032510388997,0.1002314385873578,0.4692682663396332,1.42660335807488e-06,0.469268309034052,0.0,0.0,0.0,22.4,1.624807680927192
37,triangles rewiring,er,250,0.1,0.2,0.3,0.8,100000,1.5602192357393467,0.4578626796567508,1.5602192357393467,0.4578626796567508,1.5602192357393467,0.4578626796567508,0.5194240779327743,0.1216333412966044,0.4185528016027778,0.4054755888125401,0.33111417057740355,0.1766151115227818,60061.0,48913.87794890117
38,triangles rewiring,er,250,0.1,0.2,0.3,1.2,100000,1.198749521500574,0.3974990430011484,1.198749521500574,0.3974990430011484,1.2134881981397911,0.39069736134226396,0.4996371071103899,0.042676335295167366,0.4592880975501569,0.13831567199776978,0.2766313439955396,0.060246876776911214,20247.4,39876.40253884495
39,triangles rewiring,er,250,0.1,0.2,0.3,1.6,100000,1.3843291371053623,0.4708909404759923,1.3843291371053623,0.4708909404759923,1.4062042480429178,0.4547943213311447,0.5113510731329336,0.0918147793246519,0.4313353681131022,0.27322205802723915,0.3346452423087872,0.11900875312933865,40444.0,48630.07850291833
40,triangles rewiring,er,250,0.1,0.2,0.4,0.0,100000,1.0,0.0,1.0,0.0,1.086769015389132,0.12308134117554215,0.5016191585865676,1.7172910907042869e-06,0.5016190643145046,0.0,0.0,0.0,15.2,0.9797958971132712
41,triangles rewiring,er,250,0.1,0.2,0.4,0.4,100000,1.0,0.0,1.0,0.0,1.1133426729873752,0.1946861722446644,0.5283440965521622,1.19080884579183e-06,0.5283440888473663,0.0,0.0,0.0,20.8,1.7204650534085253
42,triangles rewiring,er,250,0.1,0.2,0.4,0.8,100000,1.0,0.0,1.0,0.0,1.006502345866649,0.013004691733298124,0.5162775752834211,8.192402779015724e-07,0.5162775740106408,0.0,0.0,0.0,42.6,12.043255373859678
