,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,nruns,iqm_nit,iqm_std_nit,avg_ncluster_001,std_ncluster_001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
22,triangles rewiring,ba,100,5,0.4,0.3,0.8,100000,1311.7,3439.5079023023045,10,124.5,19.60229578391266,1.0,0.0,0.5099632431578449,9.676702028388214e-07,0.5099631532198053,0.0,0.0,0.0
23,triangles rewiring,ba,100,5,0.4,0.3,1.2,100000,20120.6,39939.22081162826,10,153.5,16.590660023037056,1.0139604819058143,0.0241234299691457,0.5148602703333649,0.0219593030883521,0.5131286456500251,0.033725737347755066,0.048761093971483975,0.014728607163213446
24,triangles rewiring,ba,100,5,0.4,0.3,1.6,100000,30190.4,45700.57799897065,10,367.25,74.31815054211185,1.0106396732700529,0.0197758626599702,0.5009018736040799,0.0161488589494882,0.5028549988750852,0.025183665702481393,0.0450131930001539,0.010998138164834824
25,triangles rewiring,ba,100,5,0.4,0.4,0.0,100000,36.6,3.929376540877701,10,38.0,0.7071067811865476,1.0,0.0,0.4865150563921085,1.5444031697731523e-06,0.4865150415099394,0.0,0.0,0.0
26,triangles rewiring,ba,100,5,0.4,0.4,0.4,100000,61.2,12.367699866992243,10,57.25,0.4330127018922193,1.0,0.0,0.4845790726460454,1.478161279436481e-06,0.4845788781179733,0.0,0.0,0.0
27,triangles rewiring,ba,100,5,0.4,0.4,0.8,100000,124.0,33.88214869219483,10,126.5,19.241881404893856,1.0,0.0,0.4997030999111668,1.768859181022976e-06,0.4997031581541767,0.0,0.0,0.0
28,triangles rewiring,ba,100,5,0.4,0.4,1.2,100000,151.0,42.37452064625628,10,142.0,23.5966099260042,1.0,0.0,0.4981760056255117,1.256756224018688e-06,0.4981760499381424,0.0,0.0,0.0
29,triangles rewiring,ba,100,5,0.4,0.4,1.6,100000,164.4,34.03586343843799,10,159.75,16.20763708873073,1.0,0.0,0.5120943755643333,1.2935180957510318e-06,0.5120943419699996,0.0,0.0,0.0
30,triangles rewiring,ba,100,5,0.3,0.2,0.0,100000,28.8,2.521904042583698,10,29.0,0.7071067811865476,1.0,0.0,0.4870012982329238,1.470360688944177e-06,0.4870011895302276,0.0,0.0,0.0
31,triangles rewiring,ba,100,5,0.3,0.2,0.4,100000,95.3,44.78403733474685,10,92.5,19.42292459955503,1.0,0.0,0.432173158936713,7.488523350915917e-07,0.4321731590013273,0.0,0.0,0.0
32,triangles rewiring,ba,100,5,0.3,0.2,0.8,100000,4358.0,4245.107725370465,10,2774.5,428.560672484072,1.0,0.0,0.4415760146609976,6.10622663543836e-17,0.4415760146609976,0.0,0.0,0.0
33,triangles rewiring,ba,100,5,0.3,0.2,1.2,100000,11785.1,20817.853695566217,10,3576.25,2550.393437785629,1.0,0.0,0.4975143748026723,4.163336342344337e-17,0.4975143748026723,0.0,0.0,0.0
34,triangles rewiring,ba,100,5,0.3,0.2,1.6,100000,1713.9,2480.2762527589543,10,744.5,213.7130084950376,1.0,0.0,0.4568864244678894,9.556945107887613e-08,0.4568864086202949,0.0,0.0,0.0
35,triangles rewiring,ba,100,5,0.3,0.3,0.0,100000,27.8,2.6,10,27.6,1.3564659966250536,1.0,0.0,0.5086049573012448,1.64353244648732e-06,0.5086048815631133,0.0,0.0,0.0
36,triangles rewiring,ba,100,5,0.3,0.3,0.4,100000,53.3,15.086749152816193,10,48.4,0.4898979485566356,1.0,0.0,0.5119414911277685,1.2422605085069035e-06,0.5119415384620578,0.0,0.0,0.0
37,triangles rewiring,ba,100,5,0.3,0.3,0.8,100000,163.1,151.60240763259665,10,80.75,11.519006033508273,1.0,0.0,0.4647945795600466,9.295860151755328e-07,0.464794547885998,0.0,0.0,0.0
38,triangles rewiring,ba,100,5,0.3,0.3,1.2,100000,98.0,22.88667734731278,10,99.25,9.12071817347735,1.0,0.0,0.492401934565273,1.2721164279681394e-06,0.492401893265353,0.0,0.0,0.0
39,triangles rewiring,ba,100,5,0.3,0.3,1.6,100000,719.2,756.4901585612333,10,456.75,550.1746881673129,1.0,0.0,0.5308388238691575,7.770202203664887e-07,0.5308387610424712,0.0,0.0,0.0
40,triangles rewiring,ba,100,5,0.3,0.4,0.0,100000,30.6,4.176122603564219,10,29.5,0.5,1.0,0.0,0.4781239213203689,1.3947277866874788e-06,0.4781238261566435,0.0,0.0,0.0
41,triangles rewiring,ba,100,5,0.3,0.4,0.4,100000,40.2,4.512205669071391,10,39.75,2.0463381929681126,1.0,0.0,0.5159149687605973,1.516443980729969e-06,0.5159148395824313,0.0,0.0,0.0
42,triangles rewiring,ba,100,5,0.3,0.4,0.8,100000,84.0,26.962937525425527,10,77.75,5.673402858955108,1.0,0.0,0.5087191523272694,1.926684186255005e-06,0.5087189681428584,0.0,0.0,0.0
43,triangles rewiring,ba,100,5,0.3,0.4,1.2,100000,259.0,213.0328613148685,10,184.75,97.1014289287238,1.0,0.0,0.5307303212344336,1.5469652140719726e-06,0.5307303701435929,0.0,0.0,0.0
44,triangles rewiring,ba,100,5,0.3,0.4,1.6,100000,488.5,862.9468407729412,10,196.75,46.20808911868137,1.0,0.0,0.465438067964815,9.850447623419216e-07,0.4654380769295937,0.0,0.0,0.0
45,triangles rewiring,ba,100,5,0.2,0.2,0.0,100000,24.9,2.3853720883753127,10,25.142857142857142,0.989743318610787,1.0,0.0,0.629991896373109,1.7252018073908605e-06,0.6299916791365325,0.0,0.0,0.0
46,triangles rewiring,ba,100,5,0.2,0.2,0.4,100000,142.7,125.31244950123671,10,73.2,21.82109071517737,1.0,0.0,0.5369924066219194,2.381831253915648e-07,0.5369924549825946,0.0,0.0,0.0
47,triangles rewiring,ba,100,5,0.2,0.2,0.8,100000,2574.9,3857.821469430642,10,1408.5,251.66793597913892,1.0,0.0,0.4846811298018675,6.985516235491455e-08,0.4846811214892854,0.0,0.0,0.0
48,triangles rewiring,ba,100,5,0.2,0.2,1.2,100000,35599.8,38482.8257091394,10,22567.5,17910.66761039353,1.001606399793555,0.0032127995871101,0.6308263588481692,0.0064451644797607,0.6312348102057588,0.0052155665966795075,0.010431133193359015,0.002277727266389445
49,triangles rewiring,ba,100,5,0.2,0.2,1.6,100000,53303.9,47301.52909251455,10,76065.57142857143,38332.18170100919,1.0360440901613008,0.0674418404368546,0.4090110198026614,0.0320936919395152,0.4084088862998506,0.0630770684455213,0.1050265564997389,0.027546836191056637
50,triangles rewiring,ba,100,5,0.2,0.3,0.0,100000,26.0,1.949358868961793,10,26.6,0.4898979485566356,1.0,0.0,0.4982228908248049,1.9015194348849835e-06,0.4982227492750627,0.0,0.0,0.0
51,triangles rewiring,ba,100,5,0.2,0.3,0.4,100000,77.1,41.6664133325632,10,62.75,21.78732429648028,1.0,0.0,0.5269811071606354,8.692200207761351e-07,0.5269810301323847,0.0,0.0,0.0
52,triangles rewiring,ba,100,5,0.2,0.3,0.8,100000,308.8,395.45032557832087,10,173.0,67.84909726739185,1.0,0.0,0.4463966104599553,6.897564477569688e-07,0.4463965863165868,0.0,0.0,0.0
53,triangles rewiring,ba,100,5,0.2,0.3,1.2,100000,3661.4,5549.188034298352,10,482.75,252.3384384115904,1.0,0.0,0.487571779967548,5.714993895024983e-07,0.4875717688313322,0.0,0.0,0.0
54,triangles rewiring,ba,100,5,0.2,0.3,1.6,100000,3090.7,6294.207448916822,10,307.25,99.91089780399334,1.0,0.0,0.5105796231143657,1.1735485976947824e-06,0.5105795875194101,0.0,0.0,0.0
55,triangles rewiring,ba,100,5,0.2,0.4,0.0,100000,26.6,1.8000000000000005,10,26.25,0.4330127018922193,1.0,0.0,0.4895782234560996,1.711057827483015e-06,0.4895782646645369,0.0,0.0,0.0
56,triangles rewiring,ba,100,5,0.2,0.4,0.4,100000,42.4,10.547037498748168,10,38.25,2.277608394786075,1.0,0.0,0.4996100602543699,1.1948526205172808e-06,0.4996100426603089,0.0,0.0,0.0
57,triangles rewiring,ba,100,5,0.2,0.4,0.8,100000,93.5,29.621782525702265,10,89.5,2.0615528128088303,1.0,0.0,0.5028171387284576,1.2347228620733138e-06,0.5028171542027982,0.0,0.0,0.0
58,triangles rewiring,ba,100,5,0.2,0.4,1.2,100000,131.0,96.02916223731206,10,87.2,9.96794863550169,1.0,0.0,0.4988114104576338,1.1686207355844145e-06,0.4988114640233781,0.0,0.0,0.0
59,triangles rewiring,ba,100,5,0.2,0.4,1.6,100000,316.6,262.5738753189281,10,218.5,111.51345210332248,1.0,0.0,0.5019745529092459,1.098630944701981e-06,0.5019746357852841,0.0,0.0,0.0
60,triangles rewiring,ba,100,5,0.1,0.2,0.0,100000,24.5,3.07408522978788,10,24.0,1.224744871391589,1.0,0.0,0.5361918864141323,2.1245394469314007e-06,0.5361919051206588,0.0,0.0,0.0
61,triangles rewiring,ba,100,5,0.1,0.2,0.4,100000,119.3,93.2824206375456,10,93.5,35.443617196894564,1.0,0.0,0.453152082455082,4.7336994036799866e-07,0.4531520388215065,0.0,0.0,0.0
62,triangles rewiring,ba,100,5,0.1,0.2,0.8,100000,1113.4,710.666475922426,10,1056.25,193.59929622805967,1.0,0.0,0.5443864967100971,1.702112441970864e-07,0.5443864557061332,0.0,0.0,0.0
63,triangles rewiring,ba,100,5,0.1,0.2,1.2,100000,26362.4,36122.9329739433,10,6713.25,9541.61819019709,1.0008031998967777,0.0024095996903325,0.4289712506814419,0.0028630476244241,0.4287898124104415,0.0026077832983397537,0.007823349895019262,0.0011388636331947225
64,triangles rewiring,ba,100,5,0.1,0.2,1.6,100000,60372.6,48533.76179980283,10,85953.71428571429,34403.78329160196,1.0056287978190634,0.005155998789831,0.4753235419074187,0.0197564161619039,0.475201588809196,0.01769835891390923,0.015617260168428473,0.007729176479928837
65,triangles rewiring,ba,100,5,0.1,0.3,0.0,100000,25.8,3.2802438933713454,10,25.0,0.816496580927726,1.0,0.0,0.5389329096849285,1.7550803524646478e-06,0.5389329160768546,0.0,0.0,0.0
66,triangles rewiring,ba,100,5,0.1,0.3,0.4,100000,70.5,45.72800017494752,10,43.5,3.947573094109004,1.0,0.0,0.5253655732316147,1.0657657926799756e-06,0.5253656016294279,0.0,0.0,0.0
67,triangles rewiring,ba,100,5,0.1,0.3,0.8,100000,375.1,534.8546438052118,10,76.75,7.562241731127087,1.0,0.0,0.5473148430385277,1.1126954858780555e-06,0.5473149070836171,0.0,0.0,0.0
