,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,nruns,iqm_nit,iqm_std_nit,avg_ncluster_001,std_ncluster_001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
22,triangles rewiring,er,100,0.1,0.5,0.35,1.0,1000000,25626.7,81054.50666522702,30,301.7857142857143,296.9209078360837,1.0202615705182905,0.009172291230931941,0.5029001911482905,0.02767538281971736,0.5029277247824593,0.05225799754931448,0.02865603047380889,0.02276674894563437
23,triangles rewiring,er,100,0.1,0.5,0.35,1.5,1000000,70942.23333333334,248514.8108504713,30,97.5,38.37642505497353,1.0643756445901529,0.17652718029960476,0.4942459280663159,0.04534766509560508,0.4862179083766925,0.09638408216407855,0.12781273571488577,0.04199074407537755
24,triangles rewiring,er,100,0.1,0.6,0.35,0.0,1000000,33.666666666666664,7.0632067001390295,30,31.875,2.315032397181517,1.0,0.0,0.5109893351221998,2.241518233974229e-06,0.5109894141274828,0.0,0.0,0.0
25,triangles rewiring,er,100,0.1,0.6,0.35,0.5,1000000,326.9,294.3864070684424,30,220.42857142857144,90.35383957824158,1.0,0.0,0.5000642859768517,1.3475246353973882e-06,0.5000640849305406,0.0,0.0,0.0
26,triangles rewiring,er,100,0.1,0.6,0.35,1.0,1000000,1920.333333333333,3570.5892075242828,30,900.0714285714287,491.802292489532,1.0405911693468015,0.01990842002877126,0.467879228284827,0.03793726705476767,0.4673421255115172,0.10472550418100499,0.04996921920403725,0.045624772737301325
27,triangles rewiring,er,100,0.1,0.6,0.35,1.5,1000000,6774.966666666666,34886.7004291352,30,106.71428571428572,68.33784620903555,1.055306221999823,0.010120162663733456,0.4928678254742308,0.04778824771097548,0.4921913931219099,0.12912000985709318,0.03392894329888842,0.05625249695991915
28,triangles rewiring,er,100,0.1,0.7,0.35,0.0,1000000,41.2,8.423775875461075,30,43.1875,4.418975418578383,1.0040399918384004,0.008079983676800673,0.5381251546284871,0.0051184669462854175,0.5378015157844281,0.009333589059141225,0.02087053961028808,0.004066276720049627
29,triangles rewiring,er,100,0.1,0.7,0.35,0.5,1000000,578.2666666666668,1203.1290297479406,30,128.0,24.313429563573646,1.0201999591920017,0.0,0.4988541632835526,0.024793528309364148,0.4991888977027712,0.04666794529570614,0.020870539610288084,0.020331383600248144
30,triangles rewiring,er,100,0.1,0.7,0.35,1.0,1000000,2451.7,7127.364684322904,30,351.28571428571433,181.0427844348356,1.036172801809602,0.010349797340129,0.4797542370080624,0.03900081100898994,0.4805728172446182,0.09001550284700686,0.029023401603545995,0.03921620518656334
31,triangles rewiring,er,100,0.1,0.7,0.35,1.5,1000000,66965.46666666666,224790.66342973907,30,385.6428571428572,179.83707195397614,1.0216420854233337,0.010518702295965668,0.457449185274849,0.028714002594673983,0.4560919989247279,0.057389318743175,0.029862764303967046,0.025002263256526058
