,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,avg_ncluster_01,std_ncluster_01,avg_ncluster_001,std_ncluster_001,avg_ncluster_00001,std_ncluster_00001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
41,rewiring,er,250,0.1,0.2,0.4,0.4,100000,2015.0,1852.8861810699545,1.0227782331003588,0.01506836121223547,1.0228480351529208,0.015168430962650819,1.0277451695252915,0.011300943247336631,0.4974201301569666,0.0418378156930561,0.4964656928812003,0.0647683287608142,0.038040913329764475,0.028211477886339337
42,rewiring,er,250,0.1,0.2,0.4,0.8,100000,4905.4,2152.253293643664,1.0565143019050165,0.014757383605020406,1.0601222547559668,0.012728835094552485,1.2250114469631321,0.2140221617987123,0.4964130661794736,0.06603878362677103,0.4965972413060245,0.1568213208356899,0.035793809520319436,0.068307478508528
43,rewiring,er,250,0.1,0.2,0.4,1.2,100000,65837.6,3763.1042823711377,1.0686791735460264,0.01166210775697287,1.07946477290293,0.009134097977524524,1.1298672373941079,0.08661402583356627,0.5032541642992754,0.05716542461880371,0.5064896661956141,0.19171503578320487,0.023983250562213555,0.08350631544701677
44,rewiring,er,250,0.1,0.2,0.4,1.6,100000,48273.0,37191.107275799135,9.075063564373902,0.22137721732992746,44.760415417416,5.343620229604351,108.91955245500166,23.579390685707608,0.4939398643185466,0.2777588906918397,0.4911246776249774,2.2750739638950552,0.005593847239322138,0.9909658014990116
45,rewiring,er,250,0.1,0.3,0.2,0.0,100000,877.0,372.1655545587205,2.114998846865676,0.26624563411880525,2.114998846865676,0.26624563411880525,2.114998846865676,0.26624563411880525,0.5016793248554603,0.22917520536654276,0.4735001201808867,0.7849965677835782,0.12026665844874596,0.3419250386197598
46,rewiring,er,250,0.1,0.3,0.2,0.4,100000,26007.2,2967.311470001085,1.8963686057793283,0.15364110485940227,1.8963686057793283,0.15364110485940227,1.8963686057793283,0.15364110485940227,0.4971623565504466,0.228624610178268,0.3928463511596273,0.6683501342685658,0.05475949855590845,0.29111674477321414
47,rewiring,er,250,0.1,0.3,0.2,0.8,100000,37169.4,15683.003278709088,2.7023573667257623,0.3246738552107309,2.7026343315085017,0.3241426381671487,2.7026343315085017,0.3241426381671487,0.5041239088310049,0.2520800303736276,0.5609298323907922,1.0198996395471096,0.10544921306909558,0.44424299156498787
48,rewiring,er,250,0.1,0.3,0.2,1.2,100000,85618.4,11818.828852301736,2.4949478370571194,0.41494822886422816,2.6060796930340246,0.4619466053649176,2.6802218399464004,0.5600539720891916,0.4909686499564806,0.2494642988765162,0.4722164798945068,1.0093251648675259,0.13539227575825127,0.43963701261987076
49,rewiring,er,250,0.1,0.3,0.2,1.6,100000,52114.0,21596.27248392648,9.213852127333048,0.35324791086867097,47.652650023008825,3.365472785680024,109.1828914851967,13.373898207711258,0.4981042136499619,0.29140585203779584,0.4914301380769276,2.2770773114078193,0.010448185294958438,0.9918384099966573
50,rewiring,er,250,0.1,0.3,0.3,0.0,100000,812.8,357.1752511023125,1.1851508418516576,0.28834992185896663,1.1851721064347465,0.28834013728926544,1.1851721064347465,0.28834013728926544,0.4903487585410714,0.08574349823345477,0.463318101996195,0.21173184971555353,0.20767676645925062,0.092225143219968
51,rewiring,er,250,0.1,0.3,0.3,0.4,100000,13452.4,9956.04203687389,1.4185931542902959,0.4624632724579275,1.4221461080057392,0.4598058998241461,1.4221461080057392,0.4598058998241461,0.5000754463909269,0.11746614585097462,0.4993962530861895,0.3475439815832816,0.28494391000209857,0.1513815399988996
52,rewiring,er,250,0.1,0.3,0.3,0.8,100000,25543.0,29924.124869409297,1.384840041580447,0.4406307727519933,1.3848539147419798,0.4406199490893437,1.592965233078924,0.4736177889499417,0.5003732350403476,0.1190127528491894,0.5146443963364027,0.31363367655725155,0.29540061920100663,0.1366110520356582
53,rewiring,er,250,0.1,0.3,0.3,1.2,100000,83026.4,14774.147739886723,1.997355819407877,0.08215041726136665,2.0662655165796218,0.12232790225362775,2.340687700123377,0.6349743301722381,0.5063058598109411,0.21336864576008602,0.5855424733022419,0.7600465772096087,0.06357396509782219,0.3310574414343933
54,rewiring,er,250,0.1,0.3,0.3,1.6,100000,59524.6,35459.94228196092,9.125825390486641,0.17482664975644738,48.00924810722397,6.239474525030865,116.20228617966715,24.49872269450511,0.4952305379813092,0.27845128475376124,0.4964050358410098,2.2731659909900883,0.008732973930312773,0.9901347358154274
55,rewiring,er,250,0.1,0.3,0.4,0.0,100000,351.6,141.45472774000876,1.0178187959065368,0.009541191375611857,1.0178187959065368,0.009541191375611857,1.0194446011011131,0.008353708900021071,0.5113339736550658,0.04444490501736972,0.5109611776294796,0.050956664607894234,0.024739400402674874,0.022195459482304343
56,rewiring,er,250,0.1,0.3,0.4,0.4,100000,1513.4,1106.5769923507357,1.0244202558803548,0.011643929343761841,1.0277722946056091,0.0111872046146507,1.0376980493025223,0.0040817725557268005,0.4942417936790971,0.044044271893891325,0.4949860440271398,0.08040221682176071,0.028868560216909877,0.03502121183729072
57,rewiring,er,250,0.1,0.3,0.4,0.8,100000,4943.2,801.7307278631648,1.0429554607687317,0.020332962218370408,1.0482347000722414,0.02261126393466216,1.0550508120586133,0.019334681851545302,0.5129212151199253,0.056427664576307636,0.5173718127720972,0.11923417500205283,0.04229304274060779,0.05193544986761277
58,rewiring,er,250,0.1,0.3,0.4,1.2,100000,85280.4,10070.30463491547,1.1056148149031733,0.04346239570438507,1.1411721612483237,0.05968468523862783,1.1413156064600207,0.05979413571674664,0.5053061495888439,0.06911778784579861,0.5070662727007264,0.29324364335250624,0.09911162025652152,0.1277296592027244
59,rewiring,er,250,0.1,0.3,0.4,1.6,100000,41525.6,32505.976869492784,9.124205814351779,0.34742453896216857,49.99500860788153,3.829534245294081,128.00581249252122,21.53600819782805,0.5056054723081304,0.2816760649849691,0.4976845218010101,2.253390781815631,0.02909342077791445,0.9815211450837106
60,rewiring,er,250,0.1,0.4,0.2,0.0,100000,765.0,168.1701519295264,1.9684055733221413,0.06144634602285175,1.9684055733221413,0.06144634602285175,1.9684055733221413,0.06144634602285175,0.5051063110451164,0.2303315419381656,0.6329699631752996,0.7233917178114785,0.03633738994745851,0.3150914936459911
61,rewiring,er,250,0.1,0.4,0.2,0.4,100000,20027.2,2232.504638293054,1.9873431892846227,0.0468474691415044,1.9873431892846227,0.0468474691415044,1.9873431892846227,0.0468474691415044,0.4927508877821181,0.23257371941849966,0.4662363959179883,0.7105980110759823,0.030445589805651405,0.30951887224972735
